,Image,Review Text
493,['https://images-na.ssl-images-amazon.com/images/I/81eJREfoZPL._SY88.jpg'],"Arrived 3 days after I ordered it, the bent welding should've clued me to what would happen. 2nd time I tuned it the inferior quality tension bolts started stripping, making the macho (small drum) useless. Mostly good materials (oak, steel, rawhide) + terrible craftmanship = drum being returned. Lay down another $30 and get some Aspires, I've gotten 2 sets of those (1 for me, 1 as a gift) and they won't let you down, or you might want to check out similarly priced bongos from Meinl, Gon Bops or Tycoon, but avoid this hunk a junk."
3294,['https://images-na.ssl-images-amazon.com/images/I/61v+t97EZ3L._SY88.jpg'],"Cool little portable sound amplifier, for when you just got to make noise without waking the neighborhood! Very light, hope it's impact resistant so I can stuff it in a back pack with other goodies. I'm using it for harmonica, slide guitar, or as a powered speaker for my media players. The sound is decent and the battery seem to last long enough. I am happy with this purchase. Way to go Danelectro!"
1911,['https://images-na.ssl-images-amazon.com/images/I/812yO7Uh09L._SY88.jpg'],"It does what it's supposed to do, and does it well. A medium Fender pick measures .72 thick on my digital caliper. An Amazon gift card is the same and my expired driver license is ..78. My credit card is. 78. Expired cards will keep you in picks for a long time! The attached pic shows you can get 5 picks from a standard size card."
1644,['https://images-na.ssl-images-amazon.com/images/I/619sFpT1b3L._SY88.jpg'],"I love this thing its so convenient to use at my desk! It's sturdy enough for my all metal, b1 conderser mic! I wouldn't use any heavier of a mic though. The shock mount s decent to!! The arm has a decent enough reach for my big desk! Zero complaints."
2308,"['https://images-na.ssl-images-amazon.com/images/I/71s23Vyl30L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71iA4VSA7-L._SY88.jpg']","Light is bright, light weight, and small in size. Works great in auto mode and sound activated mode. This light almost goes 360 degrees, and will easily fill a backyard or small hall."
3465,"['https://images-na.ssl-images-amazon.com/images/I/81c1u1J66TL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/91KgWhnTBdL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81A7k+uYv6L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71lCWZuctYL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81MIMAT1xeL._SY88.jpg']","This tenor ukulele case is great. Love the color (red) as well as the burgandy colored padded interior. This case is very sturdy and well made. All four latches close securely. There is an extra piece of removable padding on the inside that I placed along the side of my ukulele for a very nice, snug fit. I was looking for a hard case that had a pair of backpack straps, which this model does. I don't know if all the colors have that, but I was told that the red, white and champagne colored cases have the removable backpack straps. The straps are also nicely padded. Really if there was anything I would find fault with is that it is a rather heavy case, being fiberglass. But that's a price I'm happy to pay for the bombproof security this case affords my expensive Pono ukulele."
763,['https://images-na.ssl-images-amazon.com/images/I/71YINkiMSoL._SY88.jpg'],Sweet upgrade to my Stratocaster. My mexican strat came with a blank chrome plate and went ahead and gave it this little upgrade. Gave it a nice touch.. Highly recommend it
142,['https://images-na.ssl-images-amazon.com/images/I/51Y9RRlTUhL._SY88.jpg'],"This stand is very portable and compact, but I no longer have confidence in it's ability to keep my electric basses safe. My vintage Fender Jazz Bass would not fit correctly due to the offset body shape and a few years ago it fell over causing significant damage to the headstock (see picture). After this, I resigned to use this stand only with my Fender Precision Bass which has a more symmetrical body shape, but even this bass has come close to falling over if not placed just so. I've decided to go back to the more traditional type of guitar stand for my instruments."
3503,['https://images-na.ssl-images-amazon.com/images/I/31NpYphy5EL._SY88.jpg'],"If you own a J45 these are strings for that guitar. I have a J45 custom and I have tried other strings, but these give it that Gibson sound."
2987,"['https://images-na.ssl-images-amazon.com/images/I/710C3GqpkaL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71orbU3zWlL._SY88.jpg']","This pickguard is wonderful, didn't have to mod it in any way, and I was concerned because the old one on the guitar is bigger then this one.  Thought I would have some visible holes on the guitar but nope it fit like a glove. Now I have a great looking guitar, oh let's don't forget the price.  Very low price, awesome product came with screws most don't so why buy a name brand at 5 times the cost."
2631,"['https://images-na.ssl-images-amazon.com/images/I/71RBkLjLS+L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81sEnOpvMOL._SY88.jpg']","UPDATE THE CONTROLLER BROKE AGAIN. MIC KNOB BROKE THEN THE LEVEL KBOB BROKE
Pros:
*Large Jog Wheels
*USB Powered
*Trim Knobs
*Stand Alone Sound Card
*1/8 AND 1/4 Headphone jack :)))

Cons:
*MIC LEVEL KNOB BROKE IN 7 MONTHS :((( (under warranty thank God)
*Jog wheels are not LED
*Only RCA outputs :(("
918,['https://images-na.ssl-images-amazon.com/images/I/71CXygUjU6L._SY88.jpg'],"I manage a classic rock band. I recently ordered a bunch of stuff to replace aging gear. Cables, mics, stands, snakes, etc. We have now been out on a couple of gigs with the stuff. It is all good quality and working fine. Does exactly what I expected it to do. No surprises. In the interest of time I am applying this exact same review to all of the items I bought for this purpose and am happy with. FWIW, I am also taking the time to be critical of the items I am not completely happy with.

I am adding a picture for this road case also."
3617,['https://images-na.ssl-images-amazon.com/images/I/71PN17bWxUL._SY88.jpg'],"I had tusq pins on my Alvarez that had become damaged over the years. Been looking at these for a while and figured I'd give them a try.

They sound just as good and bright as the tusq or bone pins do but are much easier to change the strings on. No pin removal tool or broken  fingernails needed.

The low E was a bit tight with Ernie Ball Earthwood medium lights. String ga is a 12 as they recommend too. The rest went in smoothly though.

I have larger hands which was troublesome getting things installed but that's due to the guitar sound hole, not these pins."
921,"['https://images-na.ssl-images-amazon.com/images/I/51JA4MvXcPL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51h2ZjwVqIL._SY88.jpg']","I got this for my Ibanez EW20ASE.... the pin on the back of the body by the neck was too far recessed to get the rigid plastic ratched clasp on it.... I was mad for about 10 seconds. Great quality strap, looks fantastic, feels great to the hand and the locks are nothing to sneeze at, they really lock to your pins. So, I took it and put it on my Ibanez AS93 (a fairly heavy guitar for being semi-hollow) and they fit, perfectly. I had just done a string change and spent a little over an hour playing and breaking the strings in, this strap is super comfy (especially for not being padded). The material is somewhere between satin and a seatbelt with a cool stitched ""xxx/diamond"" design (that's my words, not Planet Waves). Absolutely love it and VERY HIGHLY RECOMMEND for use with any guitar that doesn't have recessed strap pins) A++++++"
710,['https://images-na.ssl-images-amazon.com/images/I/81ebjK43pwL._SY88.jpg'],"I have owned two Martins over the years. I have been playing only electric guitars the last many years. I came across some old songs I wrote for the acoustic guitar. I tested several guitars because I wanted a nice kick back acoustic that covered all the base and mids I remember from the Martin coffee house days. I did not like the new guitars, they did not sound the way I remember them. I walked out of my favorite music stores with out any guitar. My friend told me to try a Canadian made guitar a Seagull. I never heard of them. I saw a few for sale used, that's good because I wanted an old one. I tested a 1996 S6 Seagull and the sound, power and tone from this guitar was fantastic. I bought it, set the action very low and put some #9 strings one it. This cedar top has a magic to it and I am pleased with this one. Just as fine to play as the crazy priced guitars."
1560,['https://images-na.ssl-images-amazon.com/images/I/71c7e64haLL._SY88.jpg'],"These are amazing! Not just for the price, they are just really great pickups. I rapped mine with friction tape over copper foil tape to fight against cheap wiring in my home.

They fit perfectly in a project guitar and because they sound so lush I will be making this guitar my #1 rhythm in my home studio."
3729,"['https://images-na.ssl-images-amazon.com/images/I/61qTwfHwsVL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71X6stDTJ0L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71RR12bglPL._SY88.jpg']","Overall, this neck is a good deal. It's straight, level and the wood has nice grain. Everything seems to intonate correctly. It fit my VM Squire Telecaster neck pocket perfectly. I had to file 7 frets to level it, but I guessed that going in.
My neck is kind of chunky with a 12"" radius. It's a bit more ""D"" shape than the stock neck.
Finish work is what's to be expected at this price point. Its coated in a thin layer of pale satin poly. Heel end and 22nd fret lip are rough. Contour around truss adjust was so crooked I had to measure nut slot to make sure it wasn't the real problem. Frets are not very tall and on the soft side.
If I were in a pinch, I would order this again. Id have no problem recommending to thrifty guitarists."
513,['https://images-na.ssl-images-amazon.com/images/I/71tVuhvZ0lL._SY88.jpg'],"I have been playing for about 25 years on all kinds of gear. My Armand ride and hats never change, The crashes do from time to time. thought I would try a Wuhan crash. it sounds so good. I am so pleasantly surprised. The sound is bright and warm at the same time. the decay is not fast, but not too long either. Even the bell sounds good. I just ordered an 18 Gong crash and a 10 splash. I'll let you know!"
3777,"['https://images-na.ssl-images-amazon.com/images/I/61vqoKQ4S7L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71MvUBn8vUL._SY88.jpg']","Works, and my guitar looks like a new one!"
3765,['https://images-na.ssl-images-amazon.com/images/I/71t-8lZVDXL._SY88.jpg'],"I think this is good, the range of height is too short for the price. You can get a larger and heaviest for $1 or $2 more
Packaging is inefficient, too big."
3513,['https://images-na.ssl-images-amazon.com/images/I/71XTpcAFvNL._SY88.jpg'],I have to give these pickups 5 stars for bang for buck!  I bought this last year for an 96' Korean Squire that I have been slowly but surely replacing everything on as a learning project.  Time marched on and I finally put them in tonight and all I have to say is Wow!  The difference in these and the originals is just off the scale.  I never realized how much amp hiss I was getting until I plugged these in for the first time.  I had to actually hit a string to make sure it was working.  I can not say enough good things about these affordable pickups.  I have another MIM strat with some boutique pickups that are marketed as noiseless but I honestly believe I actually like the tone of these better for a fraction of the cost. If you have an old Strat laying around these are the pickups you need to bring it roaring back to life.  I have attached a pic for those who wonder how the covered pickups look installed.
2614,"['https://images-na.ssl-images-amazon.com/images/I/71cStvgbUmL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71HjPnf1ufL._SY88.jpg']",Good fit on my Epiphone Les Paul.
2465,['https://images-na.ssl-images-amazon.com/images/I/71P523L6-UL._SY88.jpg'],Dont waste your money. Worst clip on tuner I have ever owned. I purchased this to use on a 2nd acoustic guitar. It is very difficult to get the guitar in tune with this tuner. It hunts all over the place looking for the proper note.
399,"['https://images-na.ssl-images-amazon.com/images/I/81a4L7ONP9L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71SF58VWdkL._SY88.jpg']","Tiny little amp. I have never seen these in my retail shops. I just ordered from here. After putting in a 9V battery and plugged in my Gretsch guitar, instantly I heard the punching sound of rockabilly. Never did I ever heard any strange sounds of feedback or popping or screeching. It was quiet and perfect for me even when I played it real close to the amp. I did not purchase the DC adaptor, just relying on batteries. Imagine I could play electric guitar in my car, how portable is this thing! The bad thing about this is that the box packaging looks cheap and printing was bad. The brand name of the amp is located at its back, kind of shy of telling others it's Fender. At first I suspected it was fake. However the sound doesn't lie. I realized this amp cost more than the others, not sure if other brands are equally good as well."
1858,"['https://images-na.ssl-images-amazon.com/images/I/81x3Ytng8BL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81x3Ytng8BL._SY88.jpg']",Great look. Great product. Great buy!!!!
3698,"['https://images-na.ssl-images-amazon.com/images/I/71Q4SifJA1L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71x4xpJZ+PL._SY88.jpg']","Installed these in my Ibanez  AS53 with no problem.  Probably not the application intended by the mfg, as they are intended to replicate active metal pickups. The Neck pickup is pretty dark, and lacks volume and clarity. The bridge pickup is louder, and brighter than the neck. I've had both better, and worse pickups... these are just alright. If I had it to do all over again, I probably would have just left the stock pickups in the guitar. It's not worth sending back, as the product does actually work, and tone is such a personal and subjective thing. I'm rating three stars as a neutral rating."
3237,['https://images-na.ssl-images-amazon.com/images/I/71IJnFDpNLL._SY88.jpg'],This was an easy installation. Used it on a recent tele build. Fits right in with hand pressure. Used some light taps with a rubber mallet to seat a few that weren't exactly flush.
1764,"['https://images-na.ssl-images-amazon.com/images/I/61HU93dqujL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71vvqbve8sL._SY88.jpg']","No the best sound but for practice along without disturbing the neiborhoods is the cheap and best option...

Dont expect the most powerfull and clean amp around the world, is a little toy for yourself... Use with a decent earphones for a better sound..."
1209,"['https://images-na.ssl-images-amazon.com/images/I/51iWP9DQPiL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71HR9L7LW8L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61nbAJrVKNL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61i4V8xiOSL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71J3mkT9yYL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/610siVMVRAL._SY88.jpg']",Very nice product! Really really love it! I hope these last long time! Highly recommended! Better effect with a fog machine!
2058,['https://images-na.ssl-images-amazon.com/images/I/71M5S9lz3VL._SY88.jpg'],"These stands are excellent. They are well built and easy to assemble. they come with an Allen wrench and that is the only tool needed. The stand has a nice design when it comes to the base. There are 3 soft rubber pads that come on the stand. They also give you 3 pointed metal spikes that you can put on, which is perfect if placing on a rug. The spikes are adjustable so you can get set for the rug height and get the stand perfectly level. I put a pair of JBL monitor speakers (LSR305) on this stand for my Yamaha piano DGX-650B. See attached pictures. The stands look like they were made to go with this piano.

The quality of the metal is good despite other reviews. There are pins that allow you to lock the stand in a certain height and you don't have to worry about it lowering on its own. It comes with wire guides so you can run your cables tight to the stand making it look neat. I cant say enough good things about these stands."
3807,"['https://images-na.ssl-images-amazon.com/images/I/71lPZARmXLL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/815hyfbE7kL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71Ymrtlr9NL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61nVO7axK+L._SY88.jpg']","Strong body and high sound quality, I use it with phantom power and works as expected."
3565,"['https://images-na.ssl-images-amazon.com/images/I/71j2rXyE8TL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71c7B71mTtL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/715e7jgZPxL._SY88.jpg']","If you're looking for a gig bag for a semi-hollow guitar or bass, this will do the job. Make sure you are looking for part number 0991622206 - that's the Metro Gig Bag for Semi Hollow basses.

I have a Fender Modern Player Starcaster Bass, which is a short-scale semi-hollow bass. It's both shorter and wider than the typical Fender Precision or Jazz bass and as a result, did not fit any bag or case I already had. I did some research and it turns out that on Fender's website, they specifically state that this gig bag is for semi-hollow basses. I can confirm that my Starcaster fits perfectly, and as an added bonus, my Gretsch G5120 guitar also fits quite nicely.

The padding on the bag is good. I would definitely say it is about average for a gig bag.  The padding about an inch thick and is better than the really cheap gig bags. However, it is not as good as a $150+ Gator gig bag.  I wouldn't check this on a plane, but it would be fine for driving around in your car or just carrying the bass around."
2188,['https://images-na.ssl-images-amazon.com/images/I/61PQto-LkbL._SY88.jpg'],"My ES*335 fit loose and needed some padding added to keep the guitar snug, but if you don't mind doing that it's a good deal..."
1907,"['https://images-na.ssl-images-amazon.com/images/I/81wqvwQ90-L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/716KIs0o7tL._SY88.jpg']","This is a good case bought the damaged box one for $30 less from amazon deals had minor and i mean minor barely noticable scratch $30 bux off this is a great durable case not as great as my road runner case but that one cost $125 bux and has a rough plastic molded shell

But this one rocks bought it for my 12 string bought another for this gretsch bigsby fits in there perfectly for $59 why spend $110 on a gretsch case... this case rocks"
1969,"['https://images-na.ssl-images-amazon.com/images/I/71DQGeqD+KL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61NenIbZleL._SY88.jpg']","NOT as advertised.  They claim these are Rapco Horizon Cables, but they are actually Stagemaster - whoever that is.  Rapco Horizon cables offer a lifetime warranty and they LAST!!!  I have some that are just going bad after 14 years of weekly use.  This is a bait and switch - do NOT be deceived like I was."
2231,['https://images-na.ssl-images-amazon.com/images/I/7133VrKhmnL._SY88.jpg'],"Love this product. I just got it today and it sound perfect. I was skeptical that it would work, but its a Vox product so I figured I would be safe. So awesome to be able to practice without disturbing neighbors and family."
3838,['https://images-na.ssl-images-amazon.com/images/I/71YaxakWi4L._SY88.jpg'],"Took a little while to arrive, but it's good quality!...put this on a subRay 4 bass pick guard fits but the hole don't line up 100%, but that doesn't bother me"
2402,"['https://images-na.ssl-images-amazon.com/images/I/61cxjEGczGL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71AafCaNvZL._SY88.jpg']","Excellent product fit perfectly in my Epiphone pr-5. I think it did change the sound a little bit, it has more sustain. Very nice look."
2515,['https://images-na.ssl-images-amazon.com/images/I/81TvavW5zWL._SY88.jpg'],I ordered the pair and only one light came in. Buyer beware. Light functions but you should not expect more then the money you spent for it.
1720,['https://images-na.ssl-images-amazon.com/images/I/71ulgvGVx7L._SY88.jpg'],It's may best solid state amps I ever had. Very versatile just one cons I can tell be aware when or need to use external pedals need optimization for work as you intended. It's very tricky (remember it's a modeler amp take this in consideration). But for a Stan-alone application it's the best. Have anything you'll need. Just connect your guitar and start playing as that easy.
1732,['https://images-na.ssl-images-amazon.com/images/I/71JekYlAMhL._SY88.jpg'],"I'm a guitar player who sometimes needs to play bass.  My brother bought me for Christmas.  I was pleasantly surprised by this guitar's feel and sound when unplugged!  It FEELS solid and has great sustain unplugged!  It played easy right out of the box though I will eventually get it set up but I'm not in a rush.  With this gift came a Fender Rumble 25 bass amp that for what I need is perfect and sounds great.  I'm very impressed overall and would recommend this bass to someone looking for a quality instrument without the ""quality"" price tag."
88,['https://images-na.ssl-images-amazon.com/images/I/51C3quRX1OL._SY88.jpg'],"I upgraded the bass and tom tom heads on my Pearl Rhythm Traveler kit (ASIN: B0002FO4R8) to these heads with amazing results. Before upgrading the open bottom toms had a lot of ring and were impossible to get the tone I wanted no matter how carefully I tuned them. I replaced the heads with these and was rewarded with an amazing difference in sound quality. The ringing, hollow quality I previously struggled to correct is now a nice ""thump"" sound that works perfectly with jazz and rock.

In addition to this head I upgraded to the 10"" (ASIN: B0002E1FQW) on my other mounted tom and the 14"" (ASIN: B0002D0DSO) on my floor tom.  The results were so dramatic that I also upgraded the batter side head on my bass drum with the 20"" bass drum head (ASIN: B0002D0E3S).

In addition to achieving the exact sound I wanted I also get far better stick response, and have found that tuning these heads are far easier than any other head I've used, including Remo that I use on my Ludwig kit.

These heads have transformed a relatively inexpensive drum kit into a professional quality kit that is incomparable in sound and performance."
1451,['https://images-na.ssl-images-amazon.com/images/I/71z5Z6TDz7L._SY88.jpg'],"I had this put together in less than 5 minutes, and made my 3-guitar stand a 4-guitar stand."
2170,['https://images-na.ssl-images-amazon.com/images/I/31OHvW4zNGL._SY88.jpg'],"I bought two kits for a total of six guitar stand/holders. I don't know why they're described as ""Acoustic"" holders, I'm them using them to hold a heavy Fender Precision bass, and other standard electric guitars. They're easy to install, but as others have written, do not use the fasteners that come in the kit. They are cheaply made and are unsafe. I simply stopped by Walmart and picked up a couple packs of self-drilling drywall anchors (pictured). They're inexpensive fasteners and helped make the installation a breeze. I was able to install all six guitar stands in about 30 minutes.
I highly recommend this product -  as long as you use upgraded fasteners,"
2748,['https://images-na.ssl-images-amazon.com/images/I/71y1FTcwd3L._SY88.jpg'],Perfect!!! Great price! I needed more length to fit around costume. I play in a band and fits just right!!!
3540,['https://images-na.ssl-images-amazon.com/images/I/71edIGOwydL._SY88.jpg'],i was expecting extreme brutality but got a pleasant surprise. this pup is super clean no. 1 and distortion is very smooth not at all what expected its warm in tone but has some bite to it. overall i really like this pup. to be honest I was expecting this pickup to be really mid focused but it has a tight punch in the low and the highs are not over bearing either. great pickup would get again!
2606,['https://images-na.ssl-images-amazon.com/images/I/617+1sn2MdL._SY88.jpg'],It's bigger than I expected and when you pull it out of the box it comes in it has this square shape. LOL. I like it and will hold on to the box just for that. Fits perfectly easy on off. The black area is rubber. I thought it would be foam. Pretty good at wind protection. No popping. It looks good with the H4N Pro. A few loose hairs and sheds a little bit but hopefully all the loose ones with be gone after a little while.
726,['https://images-na.ssl-images-amazon.com/images/I/81dODc4KWXL._SY88.jpg'],"Great fun,and,if you get a Whammy pedal,and ANY BLOODY DELAY(echo pedal),this is cool! if you add more,and run it thru a big amp,AWESOME!"
2107,['https://images-na.ssl-images-amazon.com/images/I/71E7FRPYO1L._SY88.jpg'],"This is everything you want in a fuzz box.  Mid scoop, custom-dialed mid boost or additional cut, bass boost, noise gate, and a special attack knob to add in certain frequencies to give attack back to the muff sound, if desired.  EHX listened to a decade of online feedback on the NYC 3-knob Big Muff Pi and added every must-have addition into a single pedal.

Every non-germanium voicing ready to go with a tone-shaping mid boost/cut footswitch that's perfect for lead work, a high quality noise gate to silence the idle hum, and a big fat bottom-end boost toggle.  If you're in the market for fuzz, make sure to test this monster out.  It'll beat boutique pedals that cost 50-100% more."
1193,['https://images-na.ssl-images-amazon.com/images/I/61hjJnx2VEL._SY88.jpg'],Works great. Improves audio greatly on the BMPCC. So versatile. I can rig it to a camera plug in an external Mic or use it all by itself as a recorder. Not to fond of the thin plastic makes it feel like a cheap toy but it's lightweight and works great.
2229,['https://images-na.ssl-images-amazon.com/images/I/71InyjBksFL._SY88.jpg'],I'm pretty happy with this string action gauge. It's a sturdy piece of stainless steel with easy to read numbers and measurements etched into the steel. Definitely worth the money paid. A must have for anyone who sets up their own guitars.
3145,['https://images-na.ssl-images-amazon.com/images/I/81Eq6y34BYL._SY88.jpg'],"Superb feel and sound!

Tips for wah success:
- rock pedal all of the way forward
- match the volume knob to your Bass
- crank the ""Q""
- love life!

Seriously, the range this pedal hits when the ""Q"" is amazing. I love how expressive the tone is when you get it going! I think it retains the low end and adds a creamy wah in the highs and mids. Don't listen to nay-sayers that claim you lose lows!

To put it bluntly, it's needed on your board!
I've used it with delays, octave up/downs, and overdrives, and just the straight-up clean; never found a sound I didn't like or couldn't use!

Buy it."
2527,['https://images-na.ssl-images-amazon.com/images/I/81xzdr0QaWL._SY88.jpg'],"This was supposed to be red tortoise.  It's actually closer to brown tortoise.  Maybe in between red and brown but certainly not what I consider red tortoise. I actually have another guitar in need of a brown tortoise cover so I'm using it on that one so not that big a deal, however will not work on my intended red tortoise guitar.  I've attached pic of the this cover which is on the guitar on the left.  The one on the right is what I consider a proper red tortoise."
2998,"['https://images-na.ssl-images-amazon.com/images/I/71UEvRbAK3L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61E165OjQZL._SY88.jpg']","These go wonderfully with my Zakk Wylde Les Paul Custom Plus Grail. Been using Dunlop Straploks for years. They definitely take a beating. Granted I am not doing around the worlds and jumping around stage like a coke head, that behavior will destroy nearly any product, especially with wood and small screws. However, they definitely withstand some metal stage presence. Had some issues with seating but hats user error. Push the button and ensure it is fully seated and protect your guitar and investment. Easy day."
3606,['https://images-na.ssl-images-amazon.com/images/I/71rpRdEgKoL._SY88.jpg'],"Great pups!

Fender really got these right!
Great vintage tone pups at a steal.
Replaced original Lace pup equipped pickguard in my Strat Plus. And wired up a new pickguard with a .022 cap. Which is working fine for me.

If you also need pickup adjustment screws and you have a modern pick guard. Be aware these come with oval head countersunk pickup adjustment screws for vintage pickguards."
136,['https://images-na.ssl-images-amazon.com/images/I/71tE9PyfjRL._SY88.jpg'],I put these strings on an acoustic guitar I recently acquired and they sound great. I was going to try Eric Clapton signature strings but decided I wanted a lighter gauge and ordered these.
3190,['https://images-na.ssl-images-amazon.com/images/I/71xFfaQghjL._SY88.jpg'],"Amazing and highly different Wah from ibanez,This is the WAH YA WANT!!,too many reasons!,Just check it out!!!"
1333,"['https://images-na.ssl-images-amazon.com/images/I/51k1u0Yh9CL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51WQDLQQHoL._SY88.jpg']","I ordered eight of these after reading the reviews.  I have five guitars, including two Les Paul's and they hold them just fine.  I give them four stars.  The are fine for, I believe, all guitars at home, but I wouldn't use them for retail or something like a school.  They are made if ABS plastic and at the point where the arms swivel it's just a rivet the holds them together.  The wall anchors that they send with them are a joke.  like the other reviewer said, you really should find a stud to mount them to, but if you must use wall anchors, use the burly moly ones that bore into the dry wall.  All in all these are sturdy and stable (when anchored to a stud) and I'll use more if I have the need."
2821,['https://images-na.ssl-images-amazon.com/images/I/71LPADvZmeL._SY88.jpg'],"Make sure to note the big old 'Xfinity' logo splashed across the front. This is fine for studio use, but the gigging musician should try to avoid giving away free advertising to the telecommunications giant and cover the logo with black tape.

Quality is fine, adjustability is strong. Just a little anoyed by the labeling. You know what doesn't say cool, edgy musician? Brought to you by Xfinity."
3752,['https://images-na.ssl-images-amazon.com/images/I/71-ReuliVwL._SY88.jpg'],"This Singing Bowl is perfect for just taking a few minutes out of each day while listening and feeling the songs. I was not surprised at the smaller size of the Bowl but I was surprised by the excellent quality and tone of this Singing Bowl. it is a true instrument that begs to be played.
I plan on a couple of other Bowls in the near future to enhance a rather growing set of metal and ceramic bowls I have.
For a beginner to Singing Bowls, creating your first song is simple just follow the instructions and take a few minutes to watch thier video of getting started."
2557,['https://images-na.ssl-images-amazon.com/images/I/71rLW2ul8zL._SY88.jpg'],"Exactly what I needed, and worked for all different sized instruments. Created the perfect wall piece for my music room. Acoustic, electric, classical and two different size ukuleles. Perfect!"
3736,['https://images-na.ssl-images-amazon.com/images/I/61QWC8bH9qL._SY88.jpg'],"they sound good i found that the wiring is off but can be sequenced properly using this diagram colors are different but sequence is the same top left is hot, bottom left goes with ground/bare, two on right are together or can be used for tap"
3287,"['https://images-na.ssl-images-amazon.com/images/I/71Jk-v4I4gL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81Ol8U3quSL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71PJfZfsY8L._SY88.jpg']",Fantastic case I got for a great price.  Thank you Amazon for saving me $70 on this one item as compared to Musician's Friend or Sweetwater.  I had several guitars I could use this with but it fit the one I was hoping it would a Schecter OMEN-8.
3784,['https://images-na.ssl-images-amazon.com/images/I/71JH6s-YDeL._SY88.jpg'],I have tried several violin strings and these are the ones I will buy again and again. Over all great even tone. Not to bright but clear.
3319,"['https://images-na.ssl-images-amazon.com/images/I/71O5G9EbI+L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71LJS64jv6L._SY88.jpg']",Gibraltar makes good stuff...really good. But I have to return it as the inside diameter of the utility side of the bracket is 1 3/8 fully closed.
1070,"['https://images-na.ssl-images-amazon.com/images/I/61gRipdmtJL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/612BXoqkf1L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61Qi3L7qeGL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61Inn6evE2L._SY88.jpg']","I wanted to add karaoke to my services for my mobile DJ business and was looking for something that didn't cost and arm and a leg. I wanted to find something mobile, easy to set-up & affordable. After reading reviews, it was a no brainer so I made the purchase. The stand is sturdy, light, portable & very easy to set-up. I have my 20"" Sharp Aquos mounted on it (see pictures uploaded), and it took me less than five minutes to set up! The only complaint I have is the screws for the mic holders do not fit. They are a tad too big. Either the screws are too big or the holes were not made large enough. It's no big deal. I highly recommend this product. Buy it!!!"
396,['https://images-na.ssl-images-amazon.com/images/I/71NF5-crDkL._SY88.jpg'],Love it!!! Would buy again!
1723,['https://images-na.ssl-images-amazon.com/images/I/71csRy83-SL._SY88.jpg'],Nice guitar stand. Good quality construction and slim look. Would recommend.
1228,['https://images-na.ssl-images-amazon.com/images/I/51-Gxw+upuL._SY88.jpg'],"I like these microphpone windscreens and the price can't be beat. I have a few lavalier microphones and wanted to use them for recording outdoors. Unfortunately they are larger than what I would consider a lav mic windscreen. I have found they work best with my olympus me51s lav mic and they significantly reduced wind/ambient noise outside. The colors are nice and help in location them and not misplacing them. I have lost so many small black lav wind screens that if I had a dime...well you know the rest. I included a picture in the customer gallery so you can see beyond the stock photo what you're buying. I would recommend and just mention again, be aware of the size you're getting."
